age,job,marital,education,balance,housing,loan,duration,campaign,pdays,previous,deposit
59,admin.,married,secondary,2343,yes,no,1042,1,-1,0,yes
56,admin.,married,secondary,45,no,no,1467,1,-1,0,yes
41,technician,married,secondary,1270,yes,no,1389,1,-1,0,yes
55,services,married,secondary,2476,yes,no,579,1,-1,0,yes
54,admin.,married,tertiary,184,no,no,673,2,-1,0,yes
42,management,single,tertiary,0,yes,yes,562,2,-1,0,yes
56,management,married,tertiary,830,yes,yes,1201,1,-1,0,yes
60,retired,divorced,secondary,545,yes,no,1030,1,-1,0,yes
37,technician,married,secondary,1,yes,no,608,1,-1,0,yes
28,services,single,secondary,5090,yes,no,1297,3,-1,0,yes
38,admin.,single,secondary,100,yes,no,786,1,-1,0,yes
30,blue-collar,married,secondary,309,yes,no,1574,2,-1,0,yes
29,management,married,tertiary,199,yes,yes,1689,4,-1,0,yes
46,blue-collar,single,tertiary,460,yes,no,1102,2,-1,0,yes
31,technician,single,tertiary,703,yes,no,943,2,-1,0,yes
35,management,divorced,tertiary,3837,yes,no,1084,1,-1,0,yes
32,blue-collar,single,primary,611,yes,no,541,3,-1,0,yes
49,services,married,secondary,-8,yes,no,1119,1,-1,0,yes
41,admin.,married,secondary,55,yes,no,1120,2,-1,0,yes
49,admin.,divorced,secondary,168,yes,yes,513,1,-1,0,yes
28,admin.,divorced,secondary,785,yes,no,442,2,-1,0,yes
43,management,single,tertiary,2067,yes,no,756,1,-1,0,yes
43,management,divorced,tertiary,388,yes,no,2087,2,-1,0,yes
43,blue-collar,married,primary,-192,yes,no,1120,2,-1,0,yes
37,unemployed,single,secondary,381,yes,no,985,2,-1,0,yes
35,blue-collar,single,secondary,40,yes,no,617,4,-1,0,yes
31,technician,single,tertiary,22,yes,no,483,3,-1,0,yes
43,blue-collar,single,secondary,3,yes,no,929,3,-1,0,yes
31,admin.,married,secondary,307,yes,no,538,1,-1,0,yes
28,blue-collar,single,secondary,759,yes,no,710,1,-1,0,yes
32,blue-collar,married,secondary,-1,yes,no,653,1,-1,0,yes
60,technician,married,primary,65,yes,no,1028,2,-1,0,yes
26,blue-collar,single,secondary,82,yes,no,654,1,-1,0,yes
40,blue-collar,married,secondary,10,yes,no,1692,2,-1,0,yes
33,blue-collar,divorced,primary,390,yes,no,665,2,-1,0,yes
32,management,single,tertiary,311,no,no,757,2,-1,0,yes
35,blue-collar,married,primary,414,no,no,504,4,-1,0,yes
33,management,divorced,secondary,5,yes,no,1346,1,-1,0,yes
38,management,married,tertiary,119,yes,no,568,4,-1,0,yes
23,entrepreneur,single,primary,4,yes,no,395,2,-1,0,yes
60,blue-collar,married,primary,1262,yes,yes,1015,1,-1,0,yes
48,management,married,tertiary,1949,yes,no,683,2,-1,0,yes
45,entrepreneur,divorced,tertiary,-395,yes,no,470,1,-1,0,yes
36,blue-collar,married,secondary,1165,yes,no,1001,4,-1,0,yes
52,management,married,unknown,2240,yes,no,845,1,-1,0,yes
35,blue-collar,divorced,primary,300,yes,no,945,2,-1,0,yes
43,technician,married,secondary,3285,yes,no,1721,2,-1,0,yes
52,housemaid,married,secondary,3923,yes,no,942,3,-1,0,yes
53,technician,divorced,primary,1443,yes,no,476,1,-1,0,yes
48,blue-collar,divorced,primary,24,yes,no,832,1,-1,0,yes
41,blue-collar,single,primary,1618,yes,no,1553,1,-1,0,yes
39,management,divorced,tertiary,517,yes,yes,1328,1,-1,0,yes
59,retired,married,secondary,1521,yes,yes,1125,2,-1,0,yes
41,blue-collar,married,secondary,2823,yes,no,858,1,-1,0,yes
48,blue-collar,married,secondary,1405,yes,no,629,2,-1,0,yes
40,admin.,married,secondary,1535,yes,no,704,1,-1,0,yes
48,blue-collar,married,secondary,1596,yes,no,760,1,-1,0,yes
60,retired,married,primary,1542,yes,no,930,1,-1,0,yes
40,technician,single,unknown,3652,yes,no,1028,2,-1,0,yes
57,technician,married,tertiary,-1,no,no,850,2,-1,0,yes
51,blue-collar,married,secondary,7180,yes,no,927,1,-1,0,yes
41,blue-collar,divorced,secondary,5291,yes,no,1423,3,-1,0,yes
41,blue-collar,married,secondary,1384,yes,no,1162,4,-1,0,yes
52,blue-collar,divorced,primary,-191,yes,no,755,1,-1,0,yes
59,blue-collar,married,primary,320,yes,no,695,1,-1,0,yes
44,blue-collar,married,unknown,146,yes,no,483,1,-1,0,yes
49,unknown,married,primary,341,yes,yes,520,2,-1,0,yes
40,services,married,primary,-9,yes,no,920,2,-1,0,yes
41,admin.,married,primary,-306,yes,no,500,1,-1,0,yes
44,technician,married,tertiary,4580,yes,no,911,2,-1,0,yes
60,services,single,primary,313,yes,no,920,2,-1,0,yes
29,management,married,tertiary,10576,no,no,1224,2,-1,0,yes
41,retired,divorced,primary,-233,yes,no,1156,2,-1,0,yes
41,blue-collar,married,primary,2453,yes,no,1052,1,-1,0,yes
42,technician,single,secondary,1364,yes,no,1867,6,-1,0,yes
36,services,single,unknown,281,yes,no,515,1,-1,0,yes
39,technician,married,tertiary,94,yes,yes,813,1,-1,0,yes
31,self-employed,single,tertiary,144,yes,no,676,1,-1,0,yes
26,blue-collar,married,secondary,246,yes,no,1143,3,-1,0,yes
31,blue-collar,married,secondary,92,yes,no,688,1,-1,0,yes
29,admin.,single,secondary,163,yes,yes,803,1,-1,0,yes
37,services,divorced,secondary,49,yes,no,619,2,-1,0,yes
33,blue-collar,single,secondary,-416,yes,no,767,2,-1,0,yes
24,technician,single,secondary,409,yes,no,912,1,-1,0,yes
50,admin.,divorced,secondary,363,yes,no,1340,1,-1,0,yes
27,technician,single,tertiary,3706,yes,no,897,1,-1,0,yes
54,management,single,tertiary,4393,yes,no,1297,3,-1,0,yes
30,technician,single,secondary,863,yes,no,1193,5,-1,0,yes
34,blue-collar,married,primary,695,yes,yes,1064,4,-1,0,yes
37,management,single,secondary,792,yes,no,1187,4,-1,0,yes
41,admin.,single,secondary,1020,yes,no,882,1,-1,0,yes
47,blue-collar,married,secondary,863,yes,no,943,2,-1,0,yes
31,admin.,married,secondary,97,yes,no,607,1,-1,0,yes
31,blue-collar,married,secondary,754,yes,no,1022,4,-1,0,yes
43,services,divorced,secondary,1040,yes,no,552,3,-1,0,yes
37,management,divorced,tertiary,122,yes,no,1622,2,-1,0,yes
30,technician,single,tertiary,880,yes,yes,967,6,-1,0,yes
41,technician,married,secondary,501,yes,no,579,5,-1,0,yes
36,blue-collar,married,secondary,4438,yes,no,446,1,-1,0,yes
35,blue-collar,divorced,secondary,0,yes,no,1205,1,-1,0,yes
29,services,single,secondary,271,yes,no,1882,2,-1,0,yes
35,blue-collar,married,primary,102,yes,no,1334,1,-1,0,yes
31,blue-collar,married,secondary,2,yes,no,182,2,-1,0,yes
35,services,married,secondary,4170,yes,no,1777,1,-1,0,yes
34,technician,single,secondary,85,yes,no,1182,4,-1,0,yes
31,admin.,single,secondary,431,yes,yes,1045,1,-1,0,yes
44,technician,divorced,secondary,982,yes,no,650,3,-1,0,yes
36,blue-collar,married,primary,408,yes,yes,1063,2,-1,0,yes
35,blue-collar,married,unknown,4822,yes,no,843,2,-1,0,yes
41,blue-collar,married,primary,1250,yes,no,1392,2,-1,0,yes
31,blue-collar,single,primary,216,yes,no,565,1,-1,0,yes
34,blue-collar,married,secondary,1207,yes,no,905,1,-1,0,yes
32,technician,married,secondary,791,yes,no,783,2,-1,0,yes
36,management,married,tertiary,849,yes,yes,958,2,-1,0,yes
30,blue-collar,single,secondary,239,yes,no,412,1,-1,0,yes
37,technician,single,secondary,1211,yes,no,795,1,-1,0,yes
36,blue-collar,married,primary,599,yes,no,649,2,-1,0,yes
31,management,single,tertiary,825,yes,no,506,2,-1,0,yes
27,technician,married,secondary,2183,yes,yes,857,1,-1,0,yes
34,retired,married,primary,4499,no,no,1681,1,-1,0,yes
30,technician,single,tertiary,1289,yes,no,1697,2,-1,0,yes
32,technician,single,tertiary,4665,yes,no,860,2,-1,0,yes
37,technician,single,secondary,3326,yes,no,799,1,-1,0,yes
32,blue-collar,married,secondary,783,yes,no,923,3,-1,0,yes
33,blue-collar,married,secondary,0,yes,no,521,3,-1,0,yes
35,blue-collar,married,primary,994,yes,no,1349,8,-1,0,yes
35,self-employed,divorced,tertiary,1354,yes,no,736,2,-1,0,yes
30,blue-collar,single,secondary,239,yes,no,785,1,-1,0,yes
45,blue-collar,divorced,primary,-311,yes,no,1030,1,-1,0,yes
45,admin.,married,secondary,149,yes,no,893,3,-1,0,yes
33,blue-collar,married,secondary,1464,yes,no,588,3,-1,0,yes
44,management,divorced,tertiary,5773,no,no,597,6,-1,0,yes
40,blue-collar,married,primary,278,yes,no,1015,3,-1,0,yes
31,blue-collar,married,secondary,2910,yes,no,1392,2,-1,0,yes
30,technician,married,tertiary,541,yes,no,414,2,-1,0,yes
44,technician,divorced,secondary,1262,yes,no,788,11,-1,0,yes
34,services,married,secondary,-538,yes,no,682,1,-1,0,yes
37,blue-collar,married,secondary,125,no,no,679,2,-1,0,yes
28,self-employed,single,tertiary,0,yes,no,1560,2,-1,0,yes
32,admin.,single,secondary,620,yes,no,1234,3,-1,0,yes
37,blue-collar,divorced,secondary,316,yes,no,642,2,-1,0,yes
34,management,married,tertiary,2287,yes,no,895,4,-1,0,yes
38,admin.,divorced,secondary,198,yes,no,431,2,-1,0,yes
28,admin.,single,secondary,460,yes,no,741,6,-1,0,yes
31,management,divorced,tertiary,1145,yes,no,1272,4,-1,0,yes
59,services,married,secondary,-22,yes,no,748,3,-1,0,yes
24,blue-collar,married,secondary,685,yes,no,896,3,-1,0,yes
26,services,single,secondary,901,yes,no,764,2,-1,0,yes
59,retired,single,secondary,351,yes,no,1063,5,-1,0,yes
30,entrepreneur,single,primary,0,yes,yes,1051,1,-1,0,yes
37,admin.,married,secondary,274,yes,no,731,3,-1,0,yes
30,admin.,single,secondary,-213,yes,yes,751,1,-1,0,yes
25,blue-collar,married,secondary,97,yes,no,709,1,-1,0,yes
44,services,divorced,secondary,51,yes,yes,3094,2,-1,0,yes
29,management,married,tertiary,314,no,no,938,2,-1,0,yes
26,management,single,tertiary,6840,yes,no,1560,2,-1,0,yes
26,technician,single,secondary,668,yes,no,576,3,-1,0,yes
27,services,single,secondary,54,yes,no,543,2,-1,0,yes
25,self-employed,single,secondary,1242,yes,no,615,2,-1,0,yes
28,management,married,secondary,292,yes,no,507,1,-1,0,yes
23,services,single,secondary,665,yes,no,1183,1,-1,0,yes
34,management,single,tertiary,1058,yes,no,864,2,-1,0,yes
28,student,single,secondary,949,yes,no,1730,1,-1,0,yes
51,entrepreneur,married,unknown,606,yes,no,560,9,-1,0,yes
35,blue-collar,married,secondary,0,yes,yes,543,1,-1,0,yes
35,admin.,married,secondary,404,yes,no,539,1,-1,0,yes
56,blue-collar,married,secondary,249,yes,no,791,2,-1,0,yes
45,unemployed,divorced,secondary,3354,yes,no,746,1,-1,0,yes
60,blue-collar,divorced,secondary,0,yes,no,1207,1,-1,0,yes
56,technician,married,secondary,589,yes,no,535,2,-1,0,yes
27,management,single,tertiary,12956,yes,no,789,3,-1,0,yes
30,admin.,married,secondary,873,yes,no,792,3,-1,0,yes
